field_id,farm_id,field_name,area_acres,soil_type
1,11,Field South,61,Silt
2,25,Field East,183,Clay
3,21,Field North,78,Loam
4,21,Field West,88,Loam
5,14,Field East,74,Silt
6,26,Field West,56,Sandy
7,9,Field South,163,Sandy
8,28,Field West,112,Clay
9,9,Field West,43,Loam
10,8,Field South,180,Clay
11,28,Field North,118,Silt
12,30,Field East,161,Loam
13,8,Field East,184,Sandy
14,8,Field East,131,Clay
15,30,Field North,87,Clay
16,33,Field North,180,Sandy
17,33,Field South,59,Sandy
18,11,Field North,173,Sandy
19,32,Field North,48,Sandy
20,20,Field South,34,Clay
21,6,Field North,144,Loam
22,35,Field South,52,Silt
23,36,Field South,87,Silt
24,14,Field South,99,Silt
25,24,Field West,152,Silt
26,8,Field South,77,Loam
27,22,Field North,170,Clay
28,15,Field North,38,Loam
29,15,Field North,28,Sandy
30,5,Field South,91,Silt
31,14,Field South,166,Silt
32,16,Field West,124,Clay
33,7,Field North,188,Silt
34,23,Field West,125,Silt
35,4,Field North,35,Silt
36,22,Field North,83,Clay
37,13,Field West,55,Silt
38,12,Field East,138,Clay
39,5,Field West,160,Loam
40,4,Field North,43,Clay
41,11,Field West,144,Silt
42,14,Field West,35,Clay
43,25,Field North,119,Sandy
44,30,Field East,128,Silt
45,10,Field South,95,Clay
46,4,Field North,100,Loam
47,4,Field West,148,Clay
48,4,Field North,67,Loam
49,5,Field South,123,Loam
50,16,Field North,178,Loam
51,27,Field East,86,Clay
52,21,Field South,87,Silt
53,9,Field East,137,Sandy
54,5,Field North,137,Loam
55,5,Field South,149,Sandy
56,9,Field East,37,Clay
57,24,Field East,60,Silt
58,35,Field East,176,Loam
59,36,Field East,189,Loam
60,9,Field East,49,Loam
61,36,Field South,89,Sandy
62,14,Field East,72,Sandy
63,33,Field West,84,Loam
64,6,Field West,90,Loam
65,1,Field East,53,Sandy
66,11,Field West,161,Silt
67,36,Field North,48,Loam
68,10,Field North,114,Clay
69,28,Field South,30,Sandy
70,24,Field North,111,Clay
71,16,Field North,110,Silt
72,10,Field South,61,Clay
73,27,Field North,65,Sandy
74,27,Field South,88,Clay
75,7,Field West,29,Silt
76,15,Field South,137,Sandy
77,20,Field South,77,Loam
78,13,Field West,104,Sandy
79,5,Field East,109,Silt
80,35,Field East,27,Loam
81,17,Field South,168,Sandy
82,3,Field North,172,Silt
83,23,Field East,131,Loam
84,25,Field South,85,Loam
85,28,Field North,153,Clay
86,24,Field West,37,Sandy
87,21,Field North,96,Sandy
88,27,Field East,123,Sandy
89,36,Field South,69,Silt
90,25,Field South,177,Sandy
91,26,Field North,97,Sandy
92,14,Field West,168,Sandy
93,30,Field West,133,Clay
94,33,Field West,63,Loam
95,19,Field East,43,Clay
96,20,Field South,70,Clay
97,2,Field North,82,Silt
98,5,Field West,126,Clay
99,25,Field West,122,Clay
100,10,Field North,47,Silt
101,15,Field South,198,Silt
102,4,Field South,51,Silt
103,9,Field West,190,Sandy
104,29,Field West,160,Silt
105,11,Field West,135,Sandy
106,16,Field East,153,Silt
107,16,Field East,132,Loam
108,19,Field South,89,Sandy
109,21,Field North,55,Clay
110,15,Field West,197,Clay
111,14,Field North,126,Silt
112,22,Field West,126,Loam
113,14,Field West,119,Loam
114,25,Field West,21,Sandy
115,20,Field West,127,Clay
116,32,Field South,89,Silt
117,32,Field North,119,Sandy
118,26,Field South,139,Clay
119,35,Field North,120,Loam
120,6,Field West,54,Silt
