reading_id,farm_id,date,temperature_f,precipitation_in
1,36,2025-02-02,46.63,1.57
2,19,2025-12-10,76.51,1.85
3,25,2025-03-02,96.97,1.95
4,21,2025-07-19,33.77,1.49
5,13,2025-09-27,90.82,1.72
6,29,2024-08-18,93.8,1.41
7,24,2025-08-25,68.26,1.21
8,13,2024-10-28,61.42,1.97
9,5,2024-07-10,97.37,1.47
10,8,2025-01-21,32.84,0.56
11,17,2024-05-13,41.27,1.69
12,1,2024-12-04,62.64,1.87
13,3,2024-06-06,95.0,1.19
14,20,2025-05-17,85.29,1.1
15,5,2025-12-25,52.25,0.44
16,12,2025-06-17,34.77,1.01
17,27,2025-07-10,67.59,0.18
18,15,2024-08-06,76.43,0.66
19,19,2024-08-11,96.52,1.24
20,31,2025-07-28,87.66,1.96
21,1,2024-04-27,76.83,0.89
22,16,2024-02-10,77.78,0.64
23,8,2025-01-30,47.96,1.45
24,2,2025-06-13,87.55,0.75
25,33,2025-04-01,64.08,0.59
26,13,2024-11-24,65.97,1.9
27,11,2025-07-04,67.32,1.25
28,14,2025-11-17,74.07,0.43
29,28,2024-04-16,44.39,1.66
30,28,2025-10-24,87.17,0.14
31,10,2024-01-25,62.15,0.66
32,6,2024-03-16,33.8,1.59
33,36,2024-03-13,70.25,0.46
34,17,2025-02-21,57.16,1.26
35,28,2024-11-19,31.18,1.35
36,35,2024-01-07,74.9,1.24
37,3,2025-12-18,89.38,0.72
38,33,2024-04-18,50.29,1.37
39,6,2024-10-15,83.57,0.88
40,26,2025-11-07,32.16,0.31
41,15,2024-05-19,82.27,1.59
42,35,2024-10-29,97.21,0.29
43,24,2024-01-12,68.75,1.11
44,8,2024-02-12,30.35,1.19
45,35,2025-07-14,96.29,0.61
46,23,2024-08-04,58.89,1.29
47,33,2024-05-25,41.27,0.44
48,17,2024-07-17,38.02,1.34
49,4,2025-07-16,62.29,1.1
50,19,2025-11-18,34.72,0.2
51,32,2024-12-04,55.0,1.34
52,16,2024-04-12,49.96,0.14
53,13,2024-11-21,64.01,0.66
54,20,2025-12-11,70.89,1.13
55,24,2024-11-19,97.11,0.34
56,21,2024-09-09,85.0,1.42
57,28,2024-10-10,88.81,0.27
58,22,2025-05-06,62.4,0.72
59,20,2025-05-13,68.62,0.35
60,6,2024-10-14,90.11,0.28
61,35,2024-07-20,48.43,1.77
62,5,2024-03-18,92.45,1.7
63,2,2025-08-18,70.52,1.54
64,14,2024-02-07,68.61,1.09
65,35,2025-04-28,75.77,0.3
66,26,2024-08-16,92.4,1.18
67,19,2024-05-17,62.53,1.02
68,26,2025-01-07,65.15,1.33
69,11,2025-06-10,39.83,0.32
70,10,2025-05-10,95.74,0.08
71,32,2024-08-25,34.4,0.74
72,3,2025-11-15,44.47,1.82
73,24,2025-02-01,62.88,0.91
74,3,2024-02-10,98.64,0.65
75,34,2025-10-10,88.08,1.67
76,17,2025-08-15,68.1,0.35
77,25,2025-01-09,71.14,1.8
78,5,2025-06-13,47.61,1.95
79,15,2025-06-12,58.41,1.63
80,23,2025-05-13,85.49,1.77
81,1,2025-05-28,91.74,0.88
82,15,2024-03-19,66.02,0.56
83,10,2024-07-10,41.02,1.2
84,8,2025-11-07,46.12,1.62
85,8,2025-05-08,77.27,0.96
86,11,2025-10-24,88.34,0.04
87,3,2024-05-10,70.14,0.32
88,33,2024-02-10,92.36,0.29
89,11,2024-09-21,94.57,1.03
90,26,2025-09-05,97.85,1.28
91,19,2024-03-28,45.16,1.21
92,31,2025-05-08,41.94,1.66
93,10,2025-08-19,87.43,0.36
94,33,2024-09-27,41.74,1.37
95,30,2025-09-02,71.34,0.46
96,25,2024-05-15,37.6,0.4
97,33,2025-12-01,59.39,0.3
98,7,2024-06-30,63.31,1.23
99,3,2025-06-28,65.23,0.24
100,31,2025-11-06,39.12,1.21
101,1,2025-11-25,75.45,1.04
102,24,2024-02-14,78.83,0.86
103,31,2025-01-25,54.54,1.61
104,7,2025-03-11,39.37,0.95
105,15,2024-03-26,49.83,1.75
106,27,2024-09-20,43.23,1.42
107,1,2025-08-14,66.58,1.04
108,25,2025-11-01,44.38,1.61
109,27,2025-01-05,37.46,0.85
110,17,2024-09-24,89.85,0.85
111,24,2025-09-18,49.29,1.36
112,14,2025-02-27,68.65,1.12
113,12,2025-01-14,69.14,0.97
114,20,2025-08-14,54.1,1.41
115,9,2025-11-06,38.34,0.46
116,11,2024-04-12,45.01,0.8
117,22,2025-07-17,72.98,1.37
118,4,2024-06-13,57.24,1.27
119,6,2024-05-28,63.02,1.2
120,6,2024-03-06,48.42,0.74
121,3,2025-01-28,95.15,0.8
122,34,2024-10-20,79.81,1.19
123,12,2025-10-17,64.61,0.02
124,34,2024-10-19,43.63,1.57
125,33,2025-06-12,78.89,1.23
126,3,2025-01-03,46.75,0.0
127,11,2024-03-29,99.78,1.56
128,23,2025-11-16,57.66,1.17
129,34,2024-01-16,81.58,0.14
130,6,2025-07-16,49.91,1.66
131,23,2024-12-21,97.43,0.55
132,13,2025-04-10,95.08,1.15
